"","Manufacturer","Model Year","Regulatory Class","Vehicle Type","Production (000)","Production Share","2-Cycle MPG","Real-World MPG","Real-World MPG_City","Real-World MPG_Hwy","Real-World CO2 (g/mi)","Real-World CO2_City (g/mi)","Real-World CO2_Hwy (g/mi)","Weight (lbs)","Footprint (sq. ft.)","Engine Displacement","Horsepower (HP)","Acceleration (0-60 time in seconds)","HP/Engine Displacement","HP/Weight (lbs)","Ton-MPG (Real-World)","Drivetrain - Front","Drivetrain - 4WD","Drivetrain - Rear","Transmission - Manual","Transmission - Automatic","Transmission - Lockup","Transmission - CVT (Hybrid)","Transmission - Other","Fuel Delivery - Carbureted","Fuel Delivery - Gasoline Direct Injection (GDI)","Fuel Delivery - Port Fuel Injection","Fuel Delivery - Throttle Body Injection","Fuel Delivery - Other","Powertrain - Diesel","Powertrain - Electric Vehicle (EV)","Powertrain - Plug-in Hybrid Electric Vehicle (PHEV)","Powertrain - Fuel Cell Vehicle (FCV)","Powertrain - Other (incl. CNG)","Powertrain - Gasoline Hybrid","Powertrain - Gasoline","Turbocharged Engine","Stop/Start","Cylinder Deactivation","Multivalve Engine","Variable Valve Timing","Average Number of Gears","Transmission - CVT (Non-Hybrid)","4 or Fewer Gears","5 Gears","6 Gears","7 Gears","8 Gears","9 or More Gears"
"1","VW","1975","Car","Sedan/Wagon",335,0.033,26.46776,22.62002,19.99986,26.93251,392.88199,444.35303,329.97295,2371.321,0,95.2416,69.2233,0,0.725609,0.029036,26.91621,0.737,0,0.263,0.724,0.247,0.029,0,0,0.545,0,0.455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.693,0.031,0,0,0,0
"2","VW","1976","Car","Sedan/Wagon",249,0.02,27.50482,23.44384,21.36765,26.60315,379.07617,415.90902,334.05825,2342.713,0,99.9619,74.5031,0,0.74207,0.03172,27.57451,0.799,0,0.201,0.719,0.281,0,0,0,0.616,0,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0
"3","VW","1977","Car","Sedan/Wagon",316,0.023,28.82529,24.61153,22.0158,28.75528,363.51563,406.24696,311.28845,2357.793,0,99.2679,74.4851,0,0.745889,0.03152,29.62386,0.892,0,0.108,0.807,0.193,0,0,0,0.278,0,0.653,0,0.068,0.068,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","VW","1978","Car","Sedan/Wagon",291,0.02,27.17355,23.18572,20.88171,26.79981,387.61003,430.18206,335.57756,2410.106,0,97.7933,75.5057,14.7582,0.765468,0.030981,28.89954,0.902,0,0.098,0.737,0.263,0,0,0,0.01,0,0.865,0,0.125,0.125,0,0,0,0,0,0.875,0,0,0,0,0,3.7,0,0.997,0.003,0,0,0,0
"5","VW","1979","Car","Sedan/Wagon",204,0.015,28.56105,24.36856,21.95768,28.14557,372.50239,412.90724,323.11869,2388.761,0,97.8531,72.7247,16.6791,0.735178,0.030097,30.52385,0.904,0,0.096,0.792,0.208,0,0,0,0,0,0.777,0,0.222,0.222,0,0,0,0,0,0.778,0,0,0,0,0,4,0,0.782,0.218,0,0,0,0
"6","VW","1980","Car","Sedan/Wagon",417,0.037,31.17374,26.6002,23.95834,30.74363,346.84244,384.50432,300.81126,2385.016,0,99.1339,70.0977,17.357,0.696572,0.029163,33.41047,0.96,0,0.04,0.84,0.16,0,0,0,0.036,0,0.602,0,0.362,0.362,0,0,0,0,0,0.638,0,0,0,0,0,4.1,0,0.761,0.239,0,0,0,0
"7","VW","1981","Car","Sedan/Wagon",283,0.027,34.21747,29.18998,26.36092,33.59685,320.2863,354.3707,278.62759,2402.644,0,105.8114,69.1271,17.2185,0.641917,0.028408,36.96367,0.974,0,0.026,0.851,0.149,0,0,0,0,0,0.528,0,0.472,0.472,0,0,0,0,0,0.528,0,0,0,0,0,4.3,0,0.557,0.443,0,0,0,0
"8","VW","1982","Car","Sedan/Wagon",222,0.023,32.84129,27.97779,25.67907,31.41488,326.47933,355.45411,291.06573,2478.345,0,109.0524,75.2272,17.6674,0.677799,0.029923,36.52712,0.954,0,0.046,0.78,0.22,0,0,0,0.03,0,0.69,0,0.28,0.28,0,0,0,0,0,0.72,0,0,0,0,0,4.3,0,0.458,0.542,0,0,0,0
"9","VW","1983","Car","Sedan/Wagon",148,0.015,30.04354,25.6088,23.33647,29.06824,351.50682,385.52812,309.92523,2526.414,0,117.6417,90.6985,14.4054,0.756396,0.035362,33.37854,0.865,0.004,0.132,0.776,0.224,0,0,0,0.041,0,0.83,0,0.129,0.129,0,0,0,0,0,0.871,0,0,0,0,0,4.4,0,0.375,0.625,0,0,0,0
"10","VW","1984","Car","Sedan/Wagon",273,0.02,28.43369,24.2326,22.14112,27.39547,369.89858,404.70502,327.35737,2630.546,0,119.2623,93.1546,14.3641,0.769362,0.035006,32.87812,0.902,0.011,0.086,0.661,0.339,0,0,0,0.038,0,0.859,0,0.103,0.103,0,0,0,0,0,0.897,0,0,0,0,0,4.2,0,0.436,0.564,0,0,0,0
"11","VW","1985","Car","Sedan/Wagon",278,0.02,29.4841,25.13338,22.89885,28.53691,356.43893,391.19415,313.96032,2684.448,0,121.3341,98.5361,13.7136,0.806086,0.03633,34.7234,0.91,0.015,0.075,0.645,0.355,0,0,0,0,0,0.911,0,0.089,0.089,0,0,0,0,0,0.911,0,0,0,0,0,4.3,0,0.355,0.645,0,0,0,0
"12","VW","1986","Car","Sedan/Wagon",296,0.02,28.96396,24.6003,22.32556,27.99717,362.92884,399.87865,318.92952,2689.486,0,121.0971,105.1873,12.695,0.85483,0.038589,33.76529,0.877,0.03,0.093,0.652,0.348,0,0,0,0,0,0.949,0,0.051,0.051,0,0,0,0,0,0.949,0,0,0,0.044,0,4.3,0,0.354,0.646,0,0,0,0
"13","VW","1987","Car","Sedan/Wagon",280,0.019,28.33052,23.95163,21.87093,26.92191,371.0395,406.33845,330.10293,2731.545,0,120.9878,109.6707,12.572,0.892539,0.039772,33.04186,0.848,0.038,0.114,0.694,0.306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.084,0,4.3,0,0.432,0.568,0,0,0,0
"14","VW","1988","Car","Sedan/Wagon",217,0.015,29.65139,24.97399,22.66872,28.21801,355.8502,392.03798,314.94076,2692.213,0,118.0184,105.596,12.9147,0.88232,0.03868,33.84038,0.893,0.031,0.076,0.765,0.235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.077,0,4.2,0,0.575,0.425,0,0,0,0
"15","VW","1989","Car","Sedan/Wagon",159,0.011,29.34915,24.64184,22.19855,28.04658,361.45365,401.21475,317.59996,2753.546,0,119.0056,107.9848,12.5229,0.893654,0.038662,34.36638,0.918,0.017,0.066,0.717,0.283,0,0,0,0,0,0.975,0.001,0.024,0.024,0,0,0,0,0,0.976,0,0,0,0.077,0,4.2,0,0.49,0.51,0,0,0,0
"16","VW","1990","Car","Sedan/Wagon",154,0.013,28.3331,23.73371,21.16432,27.30337,374.80258,420.28956,325.81706,2929.358,0,122.0215,118.9145,11.4263,0.965517,0.039905,34.95364,0.929,0.022,0.048,0.601,0.285,0.114,0,0,0,0,0.989,0,0.011,0.011,0,0,0,0,0,0.989,0,0,0,0.187,0,4.2,0,0.547,0.453,0,0,0,0
"17","VW","1991","Car","Sedan/Wagon",117,0.01,28.93525,24.18345,21.27276,28.24974,368.90174,419.28465,315.90159,2942.695,0,121.0988,114.6201,11.9555,0.928805,0.038182,36.00333,0.921,0.025,0.054,0.589,0.219,0.192,0,0,0,0,0.958,0,0.042,0.042,0,0,0,0,0,0.958,0,0,0,0.212,0,4.3,0,0.452,0.548,0,0,0,0
"18","VW","1992","Car","Sedan/Wagon",88,0.007,28.66844,23.89521,20.87448,28.0669,372.31995,426.16153,317.01898,2975.974,0,124.5971,120.2114,11.2519,0.947789,0.039698,35.71214,0.944,0.02,0.035,0.591,0.197,0.212,0,0,0,0,0.989,0,0.011,0.011,0,0,0,0,0,0.989,0,0,0,0.204,0,4.4,0,0.425,0.568,0.007,0,0,0
"19","VW","1993","Car","Sedan/Wagon",63,0.005,26.50934,22.08891,19.05914,26.28292,402.32853,466.28543,338.12827,3131.226,0,145.6715,140.7684,9.7175,0.945866,0.043835,34.62313,0.831,0.122,0.046,0.584,0.021,0.395,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.056,0,4.6,0,0.416,0.573,0.01,0,0,0
"20","VW","1994","Car","Sedan/Wagon",77,0.006,27.74377,22.98928,19.92147,27.07125,386.57152,446.10167,328.28187,3103.882,0,134.3686,133.1085,9.7903,0.980191,0.042426,35.8125,0.855,0.106,0.038,0.533,0.006,0.461,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.027,0,4.5,0,0.467,0.519,0.014,0,0,0
"21","VW","1995","Car","Sedan/Wagon",148,0.01,28.15217,23.21786,20.14964,27.17066,382.76568,441.05016,327.08071,3124.504,0,138.3016,138.3715,9.762,0.98818,0.043807,36.44681,0.892,0.053,0.055,0.624,0.008,0.368,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.014,0,4.7,0,0.376,0.578,0.046,0,0,0
"22","VW","1996","Car","Sedan/Wagon",164,0.013,27.80577,22.90558,19.63335,27.12724,389.02232,453.81271,328.52548,3159.903,0,137.9654,136.7134,10.4211,0.977241,0.042884,36.66106,0.861,0.112,0.027,0.583,0.005,0.412,0,0,0,0,0.97,0,0.03,0.03,0,0,0,0,0,0.97,0.03,0,0,0,0,4.7,0,0.372,0.589,0.038,0,0,0
"23","VW","1997","Car","Sedan/Wagon",175,0.012,28.09462,23.03915,19.76189,27.14118,386.40508,450.46079,328.02818,3151.234,0,137.5311,140.1514,10.2015,1.00822,0.044065,36.72652,0.805,0.138,0.057,0.596,0.012,0.393,0,0,0,0,0.98,0,0.02,0.02,0,0,0,0,0,0.98,0.069,0,0,0.093,0,4.7,0,0.334,0.635,0.031,0,0,0
"24","VW","1998","Car","Sedan/Wagon",229,0.016,28.40578,23.23661,19.75984,27.55199,384.10328,451.60619,324.01594,3205.746,0,133.6558,141.8341,10.455,1.055984,0.043809,37.87849,0.775,0.183,0.042,0.546,0.008,0.445,0,0,0,0,0.949,0,0.051,0.051,0,0,0,0,0,0.949,0.194,0,0,0.349,0,4.8,0,0.241,0.75,0.009,0,0,0
"25","VW","1999","Car","Sedan/Wagon",371,0.025,27.89929,22.77293,19.25696,27.06966,391.02713,462.36918,329.0065,3255.751,0,133.927,148.2536,10.3209,1.099464,0.045022,37.44146,0.782,0.151,0.067,0.396,0.017,0.588,0,0,0,0,0.975,0,0.025,0.025,0,0,0,0,0,0.975,0.222,0,0,0.448,0,4.7,0,0.303,0.67,0.027,0,0,0
"26","VW","2000","Car","Sedan/Wagon",412,0.026,28.21691,22.87048,19.52662,26.75745,390.2935,457.06442,333.65365,3252.114,0,135.2226,152.5196,9.6404,1.123186,0.046304,37.73502,0.805,0.146,0.049,0.468,0.012,0.521,0,0,0,0,0.948,0,0.052,0.052,0,0,0,0,0,0.948,0.32,0,0,0.454,0.185,4.8,0,0.249,0.711,0.04,0,0,0
"27","VW","2001","Car","Sedan/Wagon",490,0.033,27.77841,22.47238,19.05471,26.39625,397.01968,468.16646,338.05488,3327.169,0,135.6422,163.4716,9.2011,1.206644,0.048514,37.88647,0.729,0.231,0.04,0.448,0.012,0.54,0,0,0,0,0.954,0,0.046,0.046,0,0,0,0,0,0.954,0.417,0,0,0.573,0.278,4.8,0,0.247,0.66,0.092,0,0,0
"28","VW","2002","Car","Sedan/Wagon",438,0.028,28.67547,23.09789,19.48573,27.17621,387.39005,459.10893,329.33151,3394.377,0,131.8338,165.4503,9.5221,1.262903,0.0482,39.88606,0.764,0.198,0.039,0.307,0.011,0.664,0,0,0,0,0.924,0,0.076,0.076,0,0,0,0,0,0.924,0.475,0,0,0.613,0.137,4.8,0.017,0.29,0.619,0.074,0,0,0
"29","VW","2003","Car","Sedan/Wagon",443,0.029,29.07749,23.30542,19.65141,27.32202,383.5794,454.80494,327.26773,3441.925,0,131.3826,165.5027,9.5413,1.26892,0.047554,40.70678,0.796,0.174,0.029,0.335,0,0.63,0,0,0,0,0.933,0,0.067,0.067,0,0,0,0,0,0.933,0.184,0,0,0.644,0.159,4.9,0.035,0.218,0.629,0.119,0,0,0
"30","VW","2004","Car","Sedan/Wagon",334,0.022,28.2276,22.60881,18.9104,26.63159,395.6129,472.94174,335.88812,3533.812,0,137.2782,177.0846,9.2456,1.291304,0.049254,40.48454,0.693,0.28,0.026,0.285,0.008,0.669,0,0,0,0,0.933,0,0.067,0.067,0,0,0,0,0,0.933,0.496,0,0,0.656,0.175,5,0.039,0.183,0.547,0.231,0,0,0
"31","VW","2005","Car","Sedan/Wagon",266,0.017,28.40951,22.70265,18.8314,26.86965,395.8733,477.16486,334.54808,3606.833,0,145.8917,181.9016,9.1921,1.237983,0.049413,41.64506,0.678,0.271,0.051,0.23,0.005,0.722,0,0,0,0,0.89,0,0.11,0.11,0,0,0,0,0,0.89,0.421,0,0,0.693,0.204,5.4,0.043,0.083,0.386,0.488,0,0,0
"32","VW","2006","Car","Sedan/Wagon",360,0.025,29.61344,23.60126,19.60463,27.89055,381.35845,458.76226,322.9661,3626.719,0,149.5604,192.1359,8.756,1.286565,0.052334,43.59507,0.754,0.19,0.056,0.219,0.007,0.729,0,0,0,0,0.874,0,0.126,0.126,0,0,0,0,0,0.874,0.491,0,0,0.864,0.48,5.8,0.045,0.007,0.131,0.817,0,0,0
"33","VW","2007","Car","Sedan/Wagon",309,0.021,28.43959,22.75298,18.79844,27.04492,390.58614,472.75189,328.60145,3678.79,0,154.5443,205.0891,8.3212,1.334313,0.055103,42.08166,0.732,0.214,0.053,0.245,0,0.704,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.403,0,0,1,0.159,5.9,0.051,0,0.107,0.841,0,0,0
"34","VW","2008","Car","Sedan/Wagon",320,0.024,28.76656,22.97951,19.0424,27.22602,386.73592,466.69535,326.41564,3650.43,43.27679,153.2209,209.4051,8.1328,1.377821,0.056861,42.16681,0.731,0.227,0.042,0.18,0,0.772,0,0,0,0.447,0.553,0,0,0,0,0,0,0,0,1,0.402,0,0,0.999,0.195,5.9,0.049,0,0.099,0.852,0,0,0
"35","VW","2009","Car","Sedan/Wagon",265,0.029,30.81675,24.44252,20.47502,28.62723,368.9152,440.31052,315.05558,3629.567,43.455,145.3375,198.3759,8.2804,1.373262,0.054235,45.26205,0.75,0.22,0.03,0.16,0.015,0.801,0,0,0,0.48,0.377,0,0.143,0.143,0,0,0,0,0,0.857,0.51,0,0,0.999,0.175,6,0.025,0,0.061,0.894,0.02,0,0
"36","VW","2010","Car","Sedan/Wagon",286,0.026,32.6596,25.79075,21.67279,30.10609,352.27323,419.22253,301.76762,3625.571,43.7887,141.9915,195.0477,8.4764,1.379416,0.053209,47.86103,0.79,0.185,0.025,0.156,0.366,0.445,0,0,0,0.466,0.325,0,0.209,0.209,0,0,0,0,0,0.791,0.591,0,0,1,0.798,6,0.034,0,0.028,0.897,0.041,0,0
"37","VW","2011","Car","Sedan/Wagon",285,0.024,33.00423,26.72991,22.55972,31.06138,339.78295,402.51367,292.45977,3643.454,44.43109,145.8209,196.5456,8.5435,1.339769,0.053077,49.45147,0.739,0.22,0.041,0.16,0.004,0.8,0,0,0,0.396,0.41,0,0.194,0.194,0,0,0,0,0,0.806,0.475,0,0.001,0.935,0.715,6.3,0.036,0,0.045,0.737,0.062,0.119,0
"38","VW","2012","Car","Sedan/Wagon",499,0.038,32.8934,26.70061,22.46756,31.12438,339.21708,403.0274,291.07948,3607.47,45.06783,145.2493,196.1715,8.4775,1.344719,0.053596,48.82562,0.801,0.174,0.025,0.141,0.143,0.7,0,0,0,0.378,0.451,0,0.171,0.171,0,0,0,0,0.001,0.828,0.431,0.015,0,0.944,0.773,6.2,0.016,0,0.044,0.778,0.038,0.125,0
"39","VW","2013","Car","Sedan/Wagon",564,0.038,33.27357,26.84884,22.66247,31.1962,338.10265,400.44574,291.07189,3614.685,45.22501,142.8921,194.4696,8.5447,1.351624,0.052994,49.34823,0.779,0.192,0.029,0.098,0.021,0.86,0,0,0,0.389,0.421,0,0.19,0.19,0,0,0,0,0.011,0.798,0.474,0.022,0.014,0.95,0.76,6.2,0.021,0,0.023,0.752,0.071,0.133,0
"40","VW","2014","Car","Sedan/Wagon",473,0.031,34.43402,27.44236,23.05972,32.03546,331.04429,393.84801,283.66605,3626.404,45.55615,133.352,199.081,8.4668,1.470557,0.05379,50.57845,0.737,0.222,0.041,0.094,0.048,0.836,0,0,0,0.647,0.162,0,0.191,0.191,0,0.002,0,0,0.004,0.803,0.725,0.046,0.015,0.909,0.718,6.3,0.022,0,0.031,0.701,0.085,0.16,0
"41","VW","2015","Car","Sedan/Wagon",475,0.029,36.02756,28.31482,23.64985,33.26473,318.79639,381.75171,271.30377,3625.303,45.15132,126.8836,199.2499,8.3513,1.553185,0.054209,52.86925,0.728,0.244,0.028,0.091,0.037,0.857,0,0,0,0.759,0.083,0,0.158,0.151,0.007,0.002,0,0,0.001,0.839,0.827,0.031,0.015,0.914,0.764,6.2,0.015,0.007,0.023,0.775,0.062,0.118,0
"42","VW","2016","Car","Sedan/Wagon",420,0.026,36.20695,28.44937,23.77297,33.40682,311.00568,372.45313,264.65058,3689.705,45.17324,122.7894,209.5566,7.9857,1.713449,0.056039,54.78525,0.674,0.294,0.031,0.089,0.031,0.872,0,0,0,0.975,0.005,0,0.02,0.004,0.016,0.01,0,0,0.002,0.968,0.877,0.093,0.022,0.983,0.98,6.2,0.009,0.016,0.036,0.726,0.063,0.151,0
"43","VW","2017","Car","Sedan/Wagon",477,0.029,36.53759,28.73662,24.10734,33.6047,308.69679,367.98078,263.97378,3631.604,45.04147,116.1706,206.52,8.0438,1.761792,0.056129,53.09713,0.685,0.286,0.029,0.098,0.044,0.858,0,0,0,0.989,0.007,0,0.004,0,0.004,0.007,0,0,0,0.989,0.962,0.235,0.021,0.996,0.996,6.2,0,0.004,0.046,0.71,0.176,0.064,0
"44","VW","2018","Car","Sedan/Wagon",327,0.021,34.44186,27.17454,22.85064,31.69962,326.25386,387.78822,279.8332,3801.893,45.86982,133.423,243.9185,7.3801,1.808513,0.063506,52.45844,0.459,0.486,0.055,0.061,0.081,0.858,0,0,0,0.99,0.008,0,0.002,0,0.002,0.014,0,0,0,0.984,0.943,0.45,0.018,0.998,0.998,6.6,0,0.002,0.011,0.502,0.329,0.157,0
"45","VW","2019","Car","Sedan/Wagon",385,0.024,38.88399,30.3322,25.90915,34.81595,291.80798,341.86029,254.04922,3657.914,45.27487,114.4155,207.6688,7.8288,1.792418,0.055828,57.93179,0.669,0.302,0.029,0.094,0.119,0.787,0,0,0,0.983,0.002,0,0.014,0,0.014,0.001,0,0,0.074,0.91,0.977,0.702,0.003,0.985,0.986,7.2,0,0.014,0,0.194,0.292,0.5,0
"46","VW","2020","Car","Sedan/Wagon",173,0.013,37.31132,29.27273,24.57809,34.20089,299.50078,357.30185,255.89646,3764.902,45.95423,122.7952,230.3397,7.4577,1.794519,0.059391,58.83118,0.655,0.293,0.052,0.065,0.293,0.642,0,0,0,0.949,0.021,0,0.03,0,0.03,0.003,0,0,0.059,0.907,0.95,0.829,0.034,0.969,0.895,7.2,0,0.03,0,0.199,0.267,0.503,0
"47","VW","2021","Car","Sedan/Wagon",183,0.014,36.95712,28.88771,24.53576,33.35019,302.39524,356.63822,261.47509,3850.951,46.4291,125.3518,251.8944,6.9252,1.854398,0.063188,60.8685,0.544,0.384,0.072,0.065,0.342,0.593,0,0,0,0.947,0.01,0,0.043,0,0.043,0.006,0,0,0.241,0.71,0.936,0.626,0.038,0.957,0.954,7.2,0,0.043,0,0.153,0.283,0.521,0
"48","VW","Prelim. 2022","Car","Sedan/Wagon",0,0,37.31685,28.97513,24.49085,33.61885,301.18177,356.94957,259.11132,3914.013,46.594,131.1482,284.1208,6.4991,1.928792,0.069787,62.14712,0.463,0.475,0.062,0.076,0.41,0.514,0,0,0,0.949,0.007,0,0.044,0,0.044,0.008,0,0,0.342,0.605,0.935,0.515,0.026,0.956,0.95,7.1,0,0.044,0,0.104,0.415,0.438,0
"49","VW","2003","Truck","Truck SUV",1,0,17.99632,14.70659,12.36582,17.29649,604.28704,718.67427,513.80368,5500,0,275,366.7894,7.366,1.333779,0.066689,40.45305,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.244,0,0,1,1,5,0,0,1,0,0,0,0
"50","VW","2004","Truck","Truck SUV",64,0.004,18.69328,15.18939,12.81819,17.72159,585.76614,694.13463,502.06003,5471.897,0,237.5985,292.4305,8.5944,1.221338,0.05342,41.64806,0,1,0,0,0,1,0,0,0,0,0.99,0,0.01,0.01,0,0,0,0,0,0.99,0.077,0,0,0.99,0.99,5.6,0,0,0.377,0.623,0,0,0
"51","VW","2005","Truck","Truck SUV",46,0.003,19.13548,15.45548,13.11366,17.86177,575.00628,677.69005,497.54309,5382.466,0,231.4779,291.894,8.4785,1.257292,0.054127,41.73995,0,1,0,0.004,0,0.996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.057,0,0,1,1,5.4,0,0,0.568,0.432,0,0,0
"52","VW","2006","Truck","Truck SUV",30,0.002,19.12823,15.45643,13.09589,17.88893,576.63338,680.55909,498.23328,5407.332,0,235.5189,298.7104,8.4649,1.264181,0.055139,41.96258,0,1,0,0.003,0,0.997,0,0,0,0,0.978,0,0.022,0.022,0,0,0,0,0,0.978,0.108,0,0,0.978,0.978,5.4,0,0,0.588,0.412,0,0,0
"53","VW","2007","Truck","Truck SUV",30,0.002,19.52556,15.6949,13.49904,17.8903,567.22882,659.50873,497.61415,5568.022,0,231.2965,300.1626,8.4174,1.29494,0.053862,43.74486,0,1,0,0,0,1,0,0,0,0,0.987,0,0.013,0.013,0,0,0,0,0,0.987,0.013,0,0,0.987,0.666,6,0,0,0,1,0,0,0
"54","VW","2008","Truck","Truck SUV",46,0.003,20.09989,16.28133,13.60017,19.12573,546.08652,653.73684,464.87662,5566.294,51.94448,236.4043,320.1756,8.1748,1.346163,0.057397,45.39317,0,1,0,0.006,0,0.994,0,0,0,0.946,0.051,0,0.003,0.003,0,0,0,0,0,0.997,0.054,0,0,0.997,0.997,6,0,0,0,1,0,0,0
"55","VW","2009","Truck","Truck SUV",48,0.005,23.53139,18.82594,16.03609,21.66999,474.6708,557.37324,412.28124,4776.387,48.30225,182.6618,258.7163,8.3214,1.458088,0.053867,44.86728,0.245,0.755,0,0.014,0,0.986,0,0,0,0.959,0,0,0.041,0.041,0,0,0,0,0,0.959,0.454,0,0,1,0.977,6,0,0,0,1,0,0,0
"56","VW","2010","Truck","Truck SUV",50,0.005,24.78245,19.69174,17.02715,22.32762,456.72564,528.54916,402.54299,4626.82,48.09798,175.1282,247.8242,8.4994,1.449498,0.05373,45.50206,0.194,0.806,0,0.008,0.342,0.65,0,0,0,0.915,0,0,0.085,0.085,0,0,0,0,0,0.915,0.435,0,0,1,0.951,6,0,0,0,1,0,0,0
"57","VW","2011","Truck","Truck SUV",78,0.007,26.55451,21.2369,18.18397,24.31673,423.54412,494.87442,369.73354,4624.965,48.49454,164.8665,252.9041,8.1657,1.570031,0.054418,49.15026,0.162,0.838,0,0.005,0,0.995,0,0,0,0.914,0,0,0.086,0.086,0,0,0,0,0.021,0.893,0.64,0,0,1,1,7.1,0,0,0,0.437,0,0.563,0
"58","VW","2012","Truck","Truck SUV",78,0.006,26.87897,21.45091,18.30957,24.64004,420.93687,493.43944,366.24194,4737.479,49.45294,170.0359,258.0587,8.1184,1.558317,0.054402,50.92081,0,1,0,0.002,0,0.998,0,0,0,0.885,0,0,0.115,0.115,0,0,0,0,0.023,0.863,0.558,0.146,0,1,0.885,7.4,0,0,0,0.31,0,0.69,0
"59","VW","2013","Truck","Truck SUV",88,0.006,26.88767,21.40213,18.03953,24.90413,423.18167,502.40178,363.41913,4786.31,49.61841,168.8213,263.9058,7.9993,1.596742,0.054958,51.46756,0,1,0,0.001,0,0.999,0,0,0,0.855,0,0,0.145,0.145,0,0,0,0,0.02,0.835,0.59,0.087,0,1,0.855,7.6,0,0,0,0.183,0,0.817,0
"60","VW","2014","Truck","Truck SUV",104,0.007,27.0503,21.59208,18.18733,25.14286,422.17551,501.44695,362.37425,4800.529,49.96339,171.2969,267.7154,7.9167,1.596995,0.05561,52.26819,0,1,0,0.001,0,0.999,0,0,0,0.797,0,0,0.203,0.203,0,0,0,0,0.013,0.784,0.584,0.176,0,1,0.797,7.8,0,0,0,0.116,0,0.884,0
"61","VW","2015","Truck","Truck SUV",112,0.007,27.01023,21.53597,18.19672,24.99638,420.82233,498.24324,362.41709,4795.394,50.05249,162.2516,263.6744,7.9209,1.641286,0.055282,52.00035,0,1,0,0,0.125,0.875,0,0,0,0.844,0,0,0.156,0.156,0,0.006,0,0,0.001,0.836,0.681,0.204,0,1,0.844,7.7,0,0,0,0.09,0.125,0.785,0
"62","VW","2016","Truck","Truck SUV",119,0.007,27.87147,22.06187,18.78544,25.40445,405.23632,475.59636,352.15769,4590.994,48.92651,159.3027,262.8229,7.8092,1.669931,0.056984,50.91886,0,1,0,0,0.094,0.906,0,0,0,0.932,0,0,0.068,0.068,0,0.018,0,0,0,0.914,0.721,0.274,0,1,0.932,7.5,0,0,0,0.181,0.094,0.725,0
"63","VW","2017","Truck","Truck SUV",164,0.01,27.5945,21.72664,18.71779,24.72494,408.2598,473.63887,358.93875,4653.872,50.21603,160.0905,284.2099,7.476,1.786998,0.060586,50.74905,0,1,0,0,0.177,0.823,0,0,0,0.722,0.278,0,0,0,0,0.013,0,0,0,0.987,0.599,0.544,0.008,1,1,7.5,0,0,0,0.169,0.177,0.655,0
"64","VW","2018","Truck","Truck SUV",399,0.025,29.58227,22.83029,19.91697,25.66201,389.14866,446.0298,346.23832,4472.609,50.50971,153.0895,256.9059,7.7313,1.727651,0.056979,51.2496,0.198,0.802,0,0,0.093,0.907,0,0,0,0.996,0.004,0,0,0,0,0.002,0,0,0,0.998,0.702,0.895,0.004,1,1,7.6,0,0,0,0.009,0.341,0.65,0
"65","VW","2019","Truck","Truck SUV",386,0.024,29.12094,22.9569,19.63734,26.31235,383.59519,448.9288,334.30844,4623.597,51.17039,160.5343,263.317,7.6462,1.650296,0.056235,56.32769,0.195,0.805,0,0,0.057,0.943,0,0,0,0.965,0.008,0,0.027,0,0.027,0.005,0,0,0.044,0.924,0.652,0.848,0.008,0.973,0.973,7.6,0,0.027,0,0,0.161,0.812,0
"66","VW","2020","Truck","Truck SUV",250,0.019,29.01657,22.735,19.77824,25.62492,389.29401,447.1758,345.6288,4394.661,49.35217,142.6188,247.6402,7.6948,1.739863,0.055589,50.82507,0.18,0.82,0,0,0.104,0.896,0,0,0,0.996,0.001,0,0.003,0,0.003,0.02,0,0,0.059,0.917,0.917,0.917,0.015,0.997,0.971,7.7,0,0.003,0,0,0.228,0.769,0
"67","VW","2021","Truck","Truck SUV",418,0.031,29.17879,22.74491,19.85598,25.54915,386.091,442.46806,343.56094,4607.922,50.8406,157.8996,268.0791,7.3109,1.701674,0.05741,57.0842,0.174,0.826,0,0,0.23,0.77,0,0,0,0.968,0.001,0,0.032,0,0.032,0.019,0,0,0.191,0.759,0.747,0.759,0.021,0.968,0.953,7.6,0,0.032,0,0,0.198,0.77,0
